Index;Mission;Category;Perspective text;Location
43;Dive into a culeco during carnavales;Party;"You’ll jump under the jet of water, to the rhythm of the music and the murga; you’ll find the best carne en palito in the world and you’ll hang out with friends old and new. These are the best four days of the year. Don’t overthink it: just jump in.";[7.766712413764619, -80.27761389814187]
44;Swim next to a whale shark;Diving;While you sail in the Las Perlas Archipelago, you may find a whale shark swimming happily next to your boat. Jump in the water and swim next to it. Sharks are not bloodthirsty predators, as this darling of a fish will show you. ;[8.445023923252682, -78.95311331412377]
45;Sail from island to island at the San Blas archipelago;Beach;The San Blas Archipelago has more islands than the year has days, and the Guna people know it like the backs of their hands. Their sailboats follow a tangled web of routes that connect all the islands. Join them and you’ll get to know the real Guna Yala.;[9.59847841999647, -78.78016294624591]
46;Sail across the Panama Canal;Transport;However you see it, the Panama Canal is impressive, yet the most impressive view is from within. Take a boat and cross the Isthmus, admiring the hundred-year-old engineering. And in between locks, remember to appreciate the landscapes that sustain it all.;[8.997525814808096, -79.59141404937178]
47;Get lost in the mist;Mountains;When mist covers the forest, it transforms into a magical place. A shroud of white hides everything around you. Suddenly, the wind feels crisper, the aromas grow more intense, and the birdsong becomes more musical. Who wouldn’t want to get lost in a place like this?;[9.064787101279732, -79.64767221124922]
48;Get your nails done in Avenida Central;City;What a marvelous time to live: Panama is living a renaissance in the art of painting nails. Go straight to the source: the artists at Avenida Central. Don’t even think about getting a plain color. Demand a cool design, and trust your artist’s creativity. You won’t regret it.;[8.95812630693748, -79.54088363522791]
49;Put white cheese on your pesada de nance;Food;True epicures (as well as all Panamanians of good taste) eat their pesada de nance piping hot and topped with a mountain of cold cheese. This mixture of contrasts — of hot and cold, and of sour, salty and sweet — makes a true masterpiece.;[8.437123617021635, -80.37372597976382]
50;Try the most prized coffee in the world;Drinks;The best coffee in the world grows in Panama. Go to any good café, get a cup of Geisha and get ready for a sublime experience. In its taste you may discover hints of citrus or papaya. Some even feel marshmallows and vanilla. Which flavors will you find?;[8.778919872532597, -82.44933370986605]
51;Pick up beach trash;Beach;Gone are the days when it was enough to not leave trash in the beach. Because of our actions, now we need to leave it cleaner than we found it. You have no excuse: beach clean-ups are very frequent all over Panama. And you can do even more: organize one yourself.;[9.009623041920637, -79.46876397021185]
52;Remember what made you fall in love with Panama;Feelings;Everything around you is an expansive — yet incomplete — list of reasons to fall for Panama. But we’re missing your story. When did you fall in love with Panama? Tell us. ;[8.61551997736181, -81.61044281127488]
53;Surround yourself with hummingbirds;Birdwatching;Hummingbirds are amazing: their wings beat dozens of times per second and they can fly in reverse, like helicopters. But all of this is forgotten when you’re surrounded by a swarm of feeding hummingbirds, all glittering in the sun without crashing or losing their elegance.;[9.134400959603866, -79.71906810974944]
54;Face a diablico sucio;Dancing;"Of all the dances in Corpus Christi, none is as terrifying as the diablicos sucios. Maybe it’s their masks, vejigas and fuetes. Maybe it’s their attitude, their bellows and their bullying. They can smell fear; if they approach you, stand firm and face them.";[7.940760563243709, -80.40651177432277]
55;Say hi to a humpback whale;Diving;You have to go say hello. First to the adult whales that have just swum thousands of kilometers from Antarctica to get to Panama. But also welcome their calves, Panamanian by birth, that begin here the odyssey of their lives.;[7.782678550347423, -80.21535099003684]
56;Be one of the thousand polleras;Folklore;A woman in a pollera is beautiful. Seeing 20,000 of them celebrating our National Dress to the sound of our music is even more impressive. But nothing compares to donning your pollera, tembleques, chains and babuchas to join the crowd, the dancing and the festivities.;[7.775265751970176, -80.27570523380379]
57;Volunteer at an amphibian rescue center;Frogs;We are the cause of the apocalypse that’s razing frogs in the whole planet. It is our responsibility to be part of the solution. The headquarters of the resistance to this disaster are right here in Panama, and they’re always looking for volunteers. Join them.;[9.173109247303614, -79.71030095943338]
58;Venture up a river in the Darién;River adventure;"The best way to recharge batteries is to dive into the forest. Take a piragua upriver; for many hours you’ll see giant trees and hear the sound of the waters and the birds. When you step off the boat, remember that your adventure is just beginning.";[8.25363272836367, -77.89900719037054]
59;Climb to the summit of Volcán Barú;Trekking;You have arrived at the highest point in Panama. The long, difficult hike was worth it. You were greeted by an amazing view — maybe a clear sky showed you the two oceans at your feet — but the best is still to come: waking up to the most glorious sunrise of your life.;[8.81021338011533, -82.54242348841642]
60;Climb a palo ensebao;Party;Everybody thinks they can climb up this pole swaddled in grease until they try, slide, fall and fail. To get to the top and claim your prize — usually in cash or in a bottle — you’ll need to balance strength and serenity, agility and skill. Do you think you can do it?;[7.814546659407618, -80.27761692188223]
61;Surf with the best in the world;Beach;The amazing variety of shores, beaches and reefs make Panama a paradise for surfing. Surfers of all nationalities and all levels of expertise come to flow along our waves, to connect with our people, or simply to taste life in the tropics. Join them!;[7.671407243475783, -81.2638222532446]
62;Slide down the hill at the Administration Building;City;This is how you do it: get the biggest and strongest cardboard box you can find. Climb to the Administration Building and carefully approach the slope. Sit on your box, fill yourself with courage and let yourself go. Laugh all the way downhill. If the box survives, repeat.;[8.959509543250757, -79.55504340006458]
63;Carve your first soapstone figurine;Handicrafts;The soapstone figurines that are so popular in handicraft markets all come from the same place. Instead of just buying one, head to the town of Membrillo and visit its famous quarry, choose a stone to carve and turn it into your own masterpiece.;[8.585141476587772, -80.2109739084643]
64;Braid a bread rosquita;Cooking;"Eating a rosquita makes any day better; but wait till you see an experienced braider of rosquitas in action. With enough practice, you’ll also be able to braid a dozen rosquitas per minute, even while watching your telenovela or chatting with your neighbor.";[8.083424163637066, -80.95777258772107]
65;Take your photo with a guayacán;Plants;The dry season always ends with a bang. At the first rains, all the guayacán trees turn into huge bouquets of yellow flowers. This spectacle only lasts for a few days, so you need to hurry: take your picture with a golden backdrop and share it with the whole world.;[9.00122514488986, -79.57941716821767]
66;Attend a baseball game;Sports;Out there on the field, your team is losing. Bottom half of the ninth inning, bases full, full count, two outs. The batter faces his last chance. Here in the stands, he is cheered on by you and his whole province, all ready to celebrate no matter what.;[9.040801088732447, -79.5458660917238]
67;Be part of the marea roja;Sports;Gather a group of friends to buy your tickets. Once in the stadium, follow the red and sit among the marea. Let the first blow of the whistle fill you with elation, make your heart beat to the rhythm of every pass, and lose your voice among the shouts that celebrate each goal.;[9.036074104844156, -79.46955084937137]
68;Go shopping in Salsipuedes;City;"Salsipuedes honors its name by crowding a popular market in a tight street. You’ll find handicrafts, typical shoewear, medicinal herbs and second-hand books; basically, an embassy of Panamanian culture, all for sale and for the best price.";[8.954794221533001, -79.53800569863442]
69;Leave Panama and miss it, but come back;Feelings;You don't know what you've got till it's gone, so sometimes the best way to fall for Panama is when you go to a different country. Luckily, we’ll always be here, awaiting your return and ready to welcome you back.;[8.499335139072143, -80.23279247378053]
70;Visit the church of San Francisco de la Montaña;Historical building;This tiny church, forgotten in a small town in the mountains of Veraguas, may not look like much, but it hides a colonial treasure inside: altars, pillars and a pulpit all carved in wood, glittering with gold leaf and colorful ornaments. There is nothing like it. ;[8.258054199019071, -80.9698175937101]
71;Live Casco Viejo at night;Party;"After the sun sets, Casco Viejo wakes up. Its clubs fill up with party people; its bars with groups of friends; its parks with couples; and its restaurants with families. Here, the difficult part is choosing which crowd to join.";[8.95255177970447, -79.53514951325238]
72;Jump into the pool at El Charco Trail;Forest;The best hikes through the rainforest are those that end at a natural pool to dip into. El Charco Trail and its small waterfall are an excellent example. You can’t leave without jumping in.;[9.08322391211935, -79.66582938165891]
73;Explore the wonders of the Biomuseo;Education;Immerse yourself in the vibrant biodiversity of Panama at the Biomuseo. Designed by the renowned architect Frank Gehry, this museum offers an engaging and colorful journey through Panama's unique natural history. Learn about the isthmus that changed the world and be inspired by the incredible displays that celebrate the richness of life in this tropical paradise.;[8.932393788740514, -79.54470840333698]
74;Discover the Afro-Antillean Museum;History;Step into the Afro-Antillean Museum and travel back in time to understand the vital contributions of the Afro-Antillean community in Panama. From the building of the Panama Canal to the cultural influences that shape modern Panama, this museum offers a deep and heartfelt glimpse into the lives and legacy of these incredible people.;[8.963184332297175, -79.53935401834065]
75;Visit the Museum of Contemporary Art;Art;Dive into the vibrant world of contemporary art at the Museum of Contemporary Art (MAC). Here, you'll find a diverse collection of works from Panamanian and Latin American artists that challenge, provoke, and inspire. Each exhibit offers a fresh perspective on the dynamic and evolving art scene, making it a must-visit for art enthusiasts.;[8.960974061556925, -79.5431491782876]
76;Uncover the history at the Panama Canal Museum;History;Explore the fascinating history of one of the world's greatest engineering marvels at the Panama Canal Museum. Located in the heart of Casco Viejo, this museum offers an in-depth look at the construction, impact, and ongoing significance of the Panama Canal. Through engaging exhibits and historical artifacts, you'll gain a profound appreciation for this monumental achievement.;[8.952193661445172, -79.53476187826585]
77;Discover marine life at the Marine Exhibition Center of Punta Culebra;Education;Embark on a marine adventure at the Marine Exhibition Center of Punta Culebra. Operated by the Smithsonian Tropical Research Institute, this open-air museum offers hands-on exhibits and interactive displays that reveal the secrets of Panama's marine biodiversity. Perfect for families and nature lovers, it's an educational experience that brings you closer to the wonders of the ocean.;[8.912420396261206, -79.52879058037004]
78;Delve into the artistry at the Museo de la Mola (MUMO);Culture;"Step into the vibrant world of Kuna culture at the Museo de la Mola (MUMO). This museum is dedicated to the exquisite textile art known as ""mola,"" created by the indigenous Kuna women of Panama. Each piece tells a unique story through its intricate designs and vivid colors. As you explore the museum, you'll gain a deeper understanding and appreciation of this beautiful and culturally significant art form.";[8.952105254088845, -79.5360277801345]
